Concurso;Data Sorteio;1º número_Sorteio1;2º número_Sorteio1;3º número_Sorteio1;4º número_Sorteio1;5º número_Sorteio1;6º número_Sorteio1;Arrecadação_Total;Ganhadores_Sena_Sorteio1;Cidade;UF;Rateio_Sena_Sorteio1;Acumulado_Sena_Sorteio1;Valor_Acumulado_Sena_Sorteio1;Ganhadores_Quina_Sorteio1;Rateio_Quina_Sorteio1;Ganhadores_Quadra_Sorteio1;Rateio_Quadra_Sorteio1;Ganhadores_Terno_Sorteio1;Rateio_Terno_Sorteio1;1º número_Sorteio2;2º número_Sorteio2;3º número_Sorteio2;4º número_Sorteio2;5º número_Sorteio2;6º número_Sorteio2;Ganhadores_Sena_Sorteio2;Rateio_Sena_Sorteio2;Ganhadores_Quina_Sorteio2;Rateio_Quina_Sorteio2;Ganhadores_Quadra_Sorteio2;Rateio_Quadra_Sorteio2;Ganhadores_Terno_Sorteio2;Rateio_Terno_Sorteio2;Estimativa_Prêmio;Acumulado Especial de Páscoa
1541;08/09/2016;30;28;22;36;21;3;1.785.65200;0;;;000;SIM;3.657.46023;12;4.5154;687;9013;13537;228;46;37;45;49;16;18;0;000;6;8.1277;725;8541;14399;215;3.900.00000;6.634.51185
1542;10/09/2016;47;4;35;3;49;43;2.522.49200;0;;;000;SIM;3.971.28959;20;3.8271900000000003;1366;6403;23183;188;39;18;32;30;44;45;0;000;5;13.777870000000002;797;10975;18044;242;4.300.00000;6.756.98187
1543;13/09/2016;21;17;23;45;42;44;2.945.42400;0;;;000;SIM;4.337.73696;18;4.965409999999999;1434;7123;26294;194;8;17;38;1;3;25;0;000;29;2.77378;1568;6514;27010;189;4.600.00000;6.899.98575
1544;15/09/2016;6;48;23;26;33;50;3.094.78800;0;;;000;SIM;4.722.76706;26;3.61191;1289;8326;25861;207;36;16;6;26;13;10;0;000;20;4.2259400000000005;1529;7019;25874;207;5.000.00000;7.050.24143
1545;17/09/2016;28;4;21;3;32;46;3.064.55600;0;;;000;SIM;5.001.74428;25;3.7197;1291;8232;25662;207;1;13;4;7;12;3;2;51.14583;59;1.4185299999999998;2203;4824;31978;166;5.200.00000;7.199.02932
1546;20/09/2016;13;50;49;11;36;22;3.082.54400;1;MIGUEL PEREIRA;RJ;5.282.35901;NÃO;102.89207;24;3.8974300000000004;1500;7126;27487;194;44;13;30;47;43;37;0;000;15;5.6123;1278;8364;24432;218;250.00000;7.348.69053
1547;22/09/2016;4;33;16;45;44;10;1.540.17000;0;;;000;SIM;243.09911;11;4.2487;835;6396;14140;188;24;10;12;27;50;25;1;51.40925;16;2.62888;931;5737;15080;177;400.00000;7.423.46765
1548;24/09/2016;47;17;29;10;11;44;1.589.36000;0;;;000;SIM;440.83524;14;3.4448800000000004;724;7612;13584;202;14;3;24;22;42;35;0;000;7;6.2007900000000005;774;7121;14708;187;600.00000;7.500.63300
1549;27/09/2016;3;40;42;17;6;25;1.776.80800;0;;;000;SIM;661.89223;12;4.49303;810;7607;14675;209;13;30;10;48;36;26;0;000;15;3.2349799999999997;857;7190;15781;195;850.00000;7.586.89918
1550;29/09/2016;26;18;20;17;44;2;1.824.49600;0;;;000;SIM;888.88220;8;6.9204300000000005;794;7968;14540;217;16;4;7;46;17;28;0;000;14;3.5590800000000002;951;6653;16505;191;1.000.00000;7.675.48068
